park_name,category,subcategory,civic_no,street,address,city,province,country,latitude,longitude,name,desc,color,source,precision
FILSINGER PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,805,VICTORIA ST S,805 VICTORIA ST S,KITCHENER,ONTARIO,CANADA,43.446906,-80.5041527,"VICTORIA ST S, KITCHENER, ONTARIO, CANADA","Victoria St S, Kitchener, ON N2G, Canada",,Bing Maps,street
RIVERBEND DRIVE NATURAL AREA - SWP,OPEN SPACE,OPEN SPACE/SWM,498,RIVERBEND DR,498 RIVERBEND DR,KITCHENER,ONTARIO,CANADA,43.4668388,-80.467437,"RIVERBEND DR, KITCHENER, ONTARIO, CANADA","Riverbend Dr, Kitchener, ON N2B, Canada",,Bing Maps,street
CONCORDIA PARK NATURAL AREA,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,250,AVALON PL,250 AVALON PL,KITCHENER,ONTARIO,CANADA,43.4252182,-80.4973605,"AVALON PL, KITCHENER, ONTARIO, CANADA","Avalon Pl, Kitchener, ON N2M, Canada",,Bing Maps,street
STEEPLERIDGE ST - SWP,OPEN SPACE,OPEN SPACE/SWM,258,STEEPLERIDGE ST,258 STEEPLERIDGE ST,KITCHENER,ONTARIO,CANADA,43.3757659,-80.4315005,"STEEPLERIDGE ST, KITCHENER, ONTARIO, CANADA","Steepleridge St, Kitchener, ON N2P, Canada",,Bing Maps,street
COUNTRYSIDE PARK,NEIGHBOURHOOD PARK,PLAY AREA,175,COUNTRYSIDE CRES,175 COUNTRYSIDE CRES,KITCHENER,ONTARIO,CANADA,43.4091304,-80.4807593,"COUNTRYSIDE CRES, KITCHENER, ONTARIO, CANADA","Countryside Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
CHARLES BEST PARK,NEIGHBOURHOOD PARK,PLAY AREA,104,STIRLING AVE S,104 STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
DOON CREEK NATURAL AREA 3,NATURAL AREA,OPEN SPACE/TRAIL,,FOREST CREEK DR,FOREST CREEK DR,KITCHENER,ONTARIO,CANADA,43.3795521,-80.4415356,"FOREST CREEK DR, KITCHENER, ONTARIO, CANADA","Forest Creek Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
SCHNEIDER CREEK GREENWAY,GREENWAY,OPEN SPACE,54,MILL ST,54 MILL ST,KITCHENER,ONTARIO,CANADA,43.4357643,-80.4856305,"MILL ST, KITCHENER, ONTARIO, CANADA","Mill St, Kitchener, ON N2M, Canada",,Bing Maps,street
GORDON GREEN,GREEN (PARKETTE),PLAY AREA,11,GORDON AVE,11 GORDON AVE,KITCHENER,ONTARIO,CANADA,43.455729,-80.481176,"GORDON AVE, KITCHENER, ONTARIO, CANADA","Gordon Ave, Kitchener, ON N2H, Canada",,Bing Maps,street
DOON CREEK NATURAL AREA 4,NATURAL AREA,OPEN SPACE/TRAIL,,FOREST CREEK DR,FOREST CREEK DR,KITCHENER,ONTARIO,CANADA,43.3795521,-80.4415356,"FOREST CREEK DR, KITCHENER, ONTARIO, CANADA","Forest Creek Dr, Kitchener, ON N2R, Canada",,Bing Maps,street
BLAIR CREEK - SWP#C,OPEN SPACE,OPEN SPACE/SWM,,BLAIR CREEK DR,BLAIR CREEK DR,KITCHENER,ONTARIO,CANADA,43.3717976,-80.4299264,"BLAIR CREEK DR, KITCHENER, ONTARIO, CANADA","Blair Creek Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
BLUE SPRINGS WOODS NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,,KEEWATIN AVE,KEEWATIN AVE,KITCHENER,ONTARIO,CANADA,43.4626519,-80.4296449,"KEEWATIN AVE, KITCHENER, ONTARIO, CANADA","Keewatin Ave, Kitchener, ON N2B, Canada",,Bing Maps,street
DENLOW TRAIL,NATURAL AREA,OPEN SPACE/TRAIL,,OTTAWA ST,OTTAWA ST,KITCHENER,ONTARIO,CANADA,43.439001,-80.4746262,"OTTAWA ST, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
ELMSDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,83,ELMSDALE DR,83 ELMSDALE DR,KITCHENER,ONTARIO,CANADA,43.4221381,-80.4942288,"ELMSDALE DR, KITCHENER, ONTARIO, CANADA","Elmsdale Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
WILLOWLAKE PARK,NEIGHBOURHOOD PARK,OPEN SPACE/TRAIL,1815,OLD MILL RD,1815 OLD MILL RD,KITCHENER,ONTARIO,CANADA,43.3934933,-80.41451,"OLD MILL RD, KITCHENER, ONTARIO, CANADA","Old Mill Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
HOFSTETTER PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,40,HOFSTETTER AVE,40 HOFSTETTER AVE,KITCHENER,ONTARIO,CANADA,43.4250853,-80.4218009,"HOFSTETTER AVE, KITCHENER, ONTARIO, CANADA","Hofstetter Ave, Kitchener, ON N2A, Canada",,Bing Maps,street
JANINE ST PARK,NEIGHBOURHOOD PARK,PLAY AREA,111,JANINE ST,111 JANINE ST,KITCHENER,ONTARIO,CANADA,43.443954,-80.4098524,"JANINE ST, KITCHENER, ONTARIO, CANADA","Janine St, Kitchener, ON N2A, Canada",,Bing Maps,street
ERINBROOK PARK,NEIGHBOURHOOD PARK,PLAY AREA,,ERINBROOK DR,ERINBROOK DR,KITCHENER,ONTARIO,CANADA,43.411495,-80.491005,"ERINBROOK DR, KITCHENER, ONTARIO, CANADA","Erinbrook Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
PINEDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,,PINEDALE DR,PINEDALE DR,KITCHENER,ONTARIO,CANADA,43.4195952,-80.5043859,"PINEDALE DR, KITCHENER, ONTARIO, CANADA","Pinedale Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
GREENFIELD PARK,GREEN (PARKETTE),PLAY AREA,525,GREENFIELD AVE,525 GREENFIELD AVE,KITCHENER,ONTARIO,CANADA,43.4253091,-80.4440025,"GREENFIELD AVE, KITCHENER, ONTARIO, CANADA","Greenfield Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
LAURENTIAN PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,715,LAURENTIAN DR,715 LAURENTIAN DR,KITCHENER,ONTARIO,CANADA,43.4174342,-80.4992195,"LAURENTIAN DR, KITCHENER, ONTARIO, CANADA","Laurentian Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
LYNNVALLEY PARK NATURAL AREA,NATURAL AREA,OPEN SPACE/WOODLAND,26,LYNNVALLEY CRES,26 LYNNVALLEY CRES,KITCHENER,ONTARIO,CANADA,43.4393434,-80.4233487,"LYNNVALLEY CRES, KITCHENER, ONTARIO, CANADA","Lynn Crt, Kitchener, ON N2A, Canada",,Bing Maps,street
MCLENNAN PARK,CITY WIDE PARK,MINOR SPORTSFIELD,901,OTTAWA ST S,901 OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4371667,-80.476698,"OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
TRUSSLER RD - SWP,OPEN SPACE,OPEN SPACE/SWM,400,IRA NEEDLES BLVD,400 IRA NEEDLES BLVD,KITCHENER,ONTARIO,CANADA,43.4369643,-80.5602794,"IRA NEEDLES BLVD, KITCHENER, ONTARIO, CANADA","Ira Needles Blvd, Kitchener, ON N2N, Canada",,Bing Maps,street
OLD HURON COURT - SWP,OPEN SPACE,OPEN SPACE/SWM,60,OLD HURON CRT,60 OLD HURON CRT,KITCHENER,ONTARIO,CANADA,43.3971437,-80.4534611,"OLD HURON CRT, KITCHENER, ONTARIO, CANADA","Old Huron Crt, Kitchener, ON N2R, Canada",,Bing Maps,street
STRASBURG - SWP,OPEN SPACE,OPEN SPACE/SWM,1735,STRASBURG RD,1735 STRASBURG RD,KITCHENER,ONTARIO,CANADA,43.4025882,-80.4695072,"STRASBURG RD, KITCHENER, ONTARIO, CANADA","Strasburg Rd, Kitchener, ON N2R, Canada",,Bing Maps,street
WOOLNER - SWP,OPEN SPACE,OPEN SPACE/SWM,129,WOOLNER TRAIL,129 WOOLNER TRAIL,KITCHENER,ONTARIO,CANADA,43.4456635,-80.4029185,"WOOLNER TRAIL, KITCHENER, ONTARIO, CANADA","Woolner Trail, Kitchener, ON N2A, Canada",,Bing Maps,street
SIMS ESTATE - SWP,OPEN SPACE,OPEN SPACE/SWM,251,SIMS ESTATE DR,251 SIMS ESTATE DR,KITCHENER,ONTARIO,CANADA,43.4381858,-80.4145423,"SIMS ESTATE DR, KITCHENER, ONTARIO, CANADA","Sims Estate Dr, Kitchener, ON N2A, Canada",,Bing Maps,street
VICTORIA PARK,CITY WIDE PARK,MINOR SPORTSFIELD,92,DAVID ST,92 DAVID ST,KITCHENER,ONTARIO,CANADA,43.4440545,-80.4974165,"DAVID ST, KITCHENER, ONTARIO, CANADA","David St, Kitchener, ON N2G, Canada",,Bing Maps,street
LAKESIDE PARK NATURAL AREA,NEIGHBOURHOOD PARK,OPEN SPACE,140,LAKESIDE DR,140 LAKESIDE DR,KITCHENER,ONTARIO,CANADA,43.431812,-80.5015595,"LAKESIDE DR, KITCHENER, ONTARIO, CANADA","Lakeside Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
EVERGLADE - SWP,OPEN SPACE,OPEN SPACE/SWM,1720,OTTAWA ST S,1720 OTTAWA ST S,KITCHENER,ONTARIO,CANADA,43.4371667,-80.476698,"OTTAWA ST S, KITCHENER, ONTARIO, CANADA","Ottawa St S, Kitchener, ON N2G, Canada",,Bing Maps,street
GZOWSKI PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,10,CHOPIN DR,10 CHOPIN DR,KITCHENER,ONTARIO,CANADA,43.4408291,-80.5264608,"CHOPIN DR, KITCHENER, ONTARIO, CANADA","Chopin Dr, Kitchener, ON N2M, Canada",,Bing Maps,street
HIGHLAND COURTS PARK,DISTRICT PARK,MAJOR SPORTSFIELD,120,HIGHLAND RD E,120 HIGHLAND RD E,KITCHENER,ONTARIO,CANADA,43.4399472,-80.4953314,"HIGHLAND RD E, KITCHENER, ONTARIO, CANADA","Highland Rd E, Kitchener, ON N2M, Canada",,Bing Maps,street
GREENGABLE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,1220,GREENGABLE WAY,1220 GREENGABLE WAY,KITCHENER,ONTARIO,CANADA,43.4345975,-80.5411854,"GREENGABLE WAY, KITCHENER, ONTARIO, CANADA","Greengable Way, Kitchener, ON N2N, Canada",,Bing Maps,street
WEBER PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,380,FREDERICK ST,380 FREDERICK ST,KITCHENER,ONTARIO,CANADA,43.4557381,-80.4779707,"FREDERICK ST, KITCHENER, ONTARIO, CANADA","Frederick St, Kitchener, ON N2H, Canada",,Bing Maps,street
MEINZINGER PARK,DISTRICT PARK,MINOR SPORTSFIELD,100,HOMER WATSON BLVD,100 HOMER WATSON BLVD,KITCHENER,ONTARIO,CANADA,43.386724,-80.4119148,"HOMER WATSON BLVD, KITCHENER, ONTARIO, CANADA","Homer Watson Blvd, Kitchener, ON N2P, Canada",,Bing Maps,street
CARLYLE PARK,NEIGHBOURHOOD PARK,MINOR SPORTSFIELD,580,PIONEER DR,580 PIONEER DR,KITCHENER,ONTARIO,CANADA,43.3939,-80.4404702,"PIONEER DR, KITCHENER, ONTARIO, CANADA","Pioneer Dr, Kitchener, ON N2P, Canada",,Bing Maps,street
FALLOWFIELD PARK,NEIGHBOURHOOD PARK,PLAY AREA,185,FALLOWFIELD DR,185 FALLOWFIELD DR,KITCHENER,ONTARIO,CANADA,43.4168086,-80.4620654,"FALLOWFIELD DR, KITCHENER, ONTARIO, CANADA","Fallowfield Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
WILSON PARK NATURAL AREA,DISTRICT PARK,TO INPUT,72,WILSON AVE,72 WILSON AVE,KITCHENER,ONTARIO,CANADA,43.428726,-80.4590555,"WILSON AVE, KITCHENER, ONTARIO, CANADA","Wilson Ave, Kitchener, ON N2C, Canada",,Bing Maps,street
MIKE WAGNER CREEK GREEN (COURTLAND),GREENWAY,OPEN SPACE/FLOODPLAIN,,MADISON AVE S,MADISON AVE S,KITCHENER,ONTARIO,CANADA,43.4430285,-80.4853809,"MADISON AVE S, KITCHENER, ONTARIO, CANADA","Madison Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
SCHNEIDER CREEK - STIRLING GREENWAY,GREENWAY,OPEN SPACE/TRAIL,,STIRLING AVE S,STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
SCHNEIDER CREEK - NYBERG GREENWAY 2,GREENWAY,OPEN SPACE/TRAIL,,NYBERG ST,NYBERG ST,KITCHENER,ONTARIO,CANADA,43.4392919,-80.4758149,"NYBERG ST, KITCHENER, ONTARIO, CANADA","Nyberg St, Kitchener, ON N2G, Canada",,Bing Maps,street
SOUTHRIDGE PARK,NEIGHBOURHOOD PARK,PLAY AREA,1455,QUEENS BLVD,1455 QUEENS BLVD,KITCHENER,ONTARIO,CANADA,43.4385846,-80.5011334,"QUEENS BLVD, KITCHENER, ONTARIO, CANADA","Queen's Blvd, Kitchener, ON N2M, Canada",,Bing Maps,street
FENWICK GREEN,GREEN (PARKETTE),PLAY AREA,140,FENWICK CRT,140 FENWICK CRT,KITCHENER,ONTARIO,CANADA,43.4381721,-80.5292927,"FENWICK CRT, KITCHENER, ONTARIO, CANADA","Fenwick Crt, Kitchener, ON N2M, Canada",,Bing Maps,street
CEDAR CREST PARK,NEIGHBOURHOOD PARK,TO INPUT,92,CEDAR CREST ST,92 CEDAR CREST ST,KITCHENER,ONTARIO,CANADA,43.4130305,-80.5414338,"CEDAR CREST ST, KITCHENER, ONTARIO, CANADA","Cedar Crest St, Kitchener, ON N2N, Canada",,Bing Maps,street
WOODFIELD COURT WOODLAND,NATURAL AREA,OPEN SPACE/WOODLAND,,WOODFIELD ST,WOODFIELD ST,KITCHENER,ONTARIO,CANADA,43.3845366,-80.4379815,"WOODFIELD ST, KITCHENER, ONTARIO, CANADA","Woodfield St, Kitchener, ON N2P, Canada",,Bing Maps,street
SETTLERS GROVE PARK,NEIGHBOURHOOD PARK,PARK,150,PIONEER TOWER RD,150 PIONEER TOWER RD,KITCHENER,ONTARIO,CANADA,43.4061679,-80.4088027,"PIONEER TOWER RD, KITCHENER, ONTARIO, CANADA","Pioneer Tower Rd, Kitchener, ON N2P, Canada",,Bing Maps,street
CENOTAPH GREEN,GREEN (PARKETTE),PASSIVE AREA,29,DUKE ST E,29 DUKE ST E,KITCHENER,ONTARIO,CANADA,43.4495412,-80.4848614,"DUKE ST E, KITCHENER, ONTARIO, CANADA","Duke St E, Kitchener, ON N2H, Canada",,Bing Maps,street
BALZER-MANITOU TRAIL,GREENWAY,OPEN SPACE/TRAIL,,MANITOU DR,MANITOU DR,KITCHENER,ONTARIO,CANADA,43.4184309,-80.4530933,"MANITOU DR, KITCHENER, ONTARIO, CANADA","Manitou Dr, Kitchener, ON N2C, Canada",,Bing Maps,street
SHOEMAKER GREENWAY,GREENWAY,OPEN SPACE/FLOODPLAIN,,KEHL ST,KEHL ST,KITCHENER,ONTARIO,CANADA,43.4288629,-80.4831542,"KEHL ST, KITCHENER, ONTARIO, CANADA","Kehl St, Kitchener, ON N2M, Canada",,Bing Maps,street
WINDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,76,WINDALE CRES,76 WINDALE CRES,KITCHENER,ONTARIO,CANADA,43.4193029,-80.5094291,"WINDALE CRES, KITCHENER, ONTARIO, CANADA","Windale Crescent, Kitchener, ON N2E, Canada",,Bing Maps,street
RADCLIFFE PARK,NEIGHBOURHOOD PARK,PLAY AREA,70,RADCLIFFE DR,70 RADCLIFFE DR,KITCHENER,ONTARIO,CANADA,43.4136753,-80.4971548,"RADCLIFFE DR, KITCHENER, ONTARIO, CANADA","Radcliffe Dr, Kitchener, ON N2E, Canada",,Bing Maps,street
QUEENSMOUNT PARK,DISTRICT PARK,MAJOR SPORTSFIELD,1260,QUEENS BLVD,1260 QUEENS BLVD,KITCHENER,ONTARIO,CANADA,43.4385846,-80.5011334,"QUEENS BLVD, KITCHENER, ONTARIO, CANADA","Queen's Blvd, Kitchener, ON N2M, Canada",,Bing Maps,street
MICHEL GREEN,GREEN (PARKETTE),PASSIVE AREA,,CHARLES ST E,CHARLES ST E,KITCHENER,ONTARIO,CANADA,43.4427047,-80.476782,"CHARLES ST E, KITCHENER, ONTARIO, CANADA","Charles St E, Kitchener, ON N2G, Canada",,Bing Maps,street
BANKSIDE PARK,NEIGHBOURHOOD PARK,PLAY AREA,292,BANKSIDE DR,292 BANKSIDE DR,KITCHENER,ONTARIO,CANADA,43.4296247,-80.5352015,"BANKSIDE DR, KITCHENER, ONTARIO, CANADA","Bankside Dr, Kitchener, ON N2N, Canada",,Bing Maps,street
WILLOW GREEN,GREEN (PARKETTE),PASSIVE AREA,110,STIRLING AVE S,110 STIRLING AVE S,KITCHENER,ONTARIO,CANADA,43.4410234,-80.4843618,"STIRLING AVE S, KITCHENER, ONTARIO, CANADA","Stirling Ave S, Kitchener, ON N2G, Canada",,Bing Maps,street
SHANTZ PARK,NEIGHBOURHOOD PARK,PLAY AREA,451,MANCHESTER RD,451 MANCHESTER RD,KITCHENER,ONTARIO,CANADA,43.459171,-80.4543665,"MANCHESTER RD, KITCHENER, ONTARIO, CANADA","Manchester Rd, Kitchener, ON N2B, Canada",,Bing Maps,street
